evt_id,name,type,date,lat,lng,description,source_ids
evt_001,Battle of Moore's Creek Bridge,battle,1776-02-27,34.4600,-78.1092,"Loyalist Highland Scots column, assembled at Cross Creek and commanded by Brigadier General Donald MacDonald, was led into action by Lieutenant Colonel Donald MacLeod after MacDonald fell ill. MacLeod ordered a charge across the bridge at Moore's Creek, Pender County. The planking had been removed and the stringers greased. MacLeod was killed in the crossing. The rout that followed ended organized Loyalist military capacity in the Cape Fear valley for the remainder of the war.",src_001|src_002|src_003
evt_002,Cumberland County Militia Appointments,political,1775-09-09,35.0527,-78.8784,"The North Carolina Provincial Congress appoints field officers for the Cumberland County Militia: Thomas Rutherford (Colonel), Alexander McAlister (Lieutenant Colonel), Duncan McNeill (1st Major), Alexander McDonald (2nd Major).",src_006
evt_003,Old Bluff Presbyterian Church Founded,ecclesiastical,1758,35.1833,-78.7167,"Old Bluff Presbyterian Church established near the upper Cape Fear River, Cumberland County, serving the Highland Scots immigrant community settled in the area from the early 1740s.",src_007
